"","participant","phase","day","group","N","slope","sd","first_result","second_result","Fgroup"
"236","11","1",7,"15",50,-0.704002164678631,0.554640256681716,"F","F>0","creeping"
"237","11","1",8,"15",49,0.65295286989396,1.11914615756804,"F","F>0","creeping"
"238","11","1",9,"15",50,0.615291869293933,0.71673166623938,"F","F>0","creeping"
"239","11","1",10,"15",50,-0.097194,0.414323869873483,"F","F>0","creeping"
"240","11","1",11,"15",50,1.129894,0.657111086626414,"F","F>0","creeping"
"241","11","1",12,"15",50,1.47518322772146,0.810012331058413,"F","F>0","creeping"
"242","11","1",13,"15",50,1.645132839705,0.695634052654707,"F","F>0","creeping"
"243","11","2",1,"15",50,-0.309472220216102,0.383423685561948,"F","F>0","creeping"
"244","11","2",2,"15",50,-1.43099160932879,0.330682940749024,"F","F>0","creeping"
"245","11","2",3,"15",50,0.325919891530847,0.875755152938769,"F","F>0","creeping"
"246","11","2",4,"15",50,1.66901793993676,0.757404587981659,"F","F>0","creeping"
"247","11","2",5,"15",50,0.646296171345496,1.10205826479695,"F","F>0","creeping"
"248","11","2",6,"15",50,-0.328569604256625,1.07651435190895,"F","F>0","creeping"
"249","11","2",7,"15",50,-0.0178098517083632,0.998466729797868,"F","F>0","creeping"
"250","11","2",8,"15",50,-0.219177543449034,0.923106802030019,"F","F>0","creeping"
"251","11","2",9,"15",50,-0.751192448364843,0.639623718809538,"F","F>0","creeping"
"252","11","2",10,"15",50,-0.503378620814502,0.638853979914189,"F","F>0","creeping"
"253","11","2",11,"15",50,-0.817810468254974,0.732294312870148,"F","F>0","creeping"
"254","11","2",12,"15",50,-1.19376878736633,0.240098947461682,"F","F>0","creeping"
"255","11","2",13,"15",50,-1.08781718785833,0.250888417731237,"F","F>0","creeping"
"256","11","2",14,"15",50,0.322146186945916,0.913791058522065,"F","F>0","creeping"
"257","11","2",15,"15",50,-0.791131282130365,0.5333601341582,"F","F>0","creeping"
"258","12","1",1,"15",50,-2.6384988017212,0.917599269055264,"T","F<0","success"
"259","12","1",2,"15",50,-0.670216678257175,1.33118084831249,"T","F<0","success"
"260","12","1",3,"15",50,-0.412908204484374,1.02469899557644,"T","F<0","success"
